Status,From (Envelope),From (Header),To,Subject,Sent Date/Time,IP Address,Attachment,Route,Info,Spam Score,Spam Detection
Bounced,<deal259@spam.mail>,<deal259@spam.mail>,<user@example.com>,URGENT: Claim your prize NOW!,Fri Sep 26 11:14:41 EDT 2025,184.200.246.167,Has Attachment,inbound,,13,Moderate
Bounced,<admin@company.com>,Admin <admin@company.com>,<user@example.com>,System maintenance notification,Mon Sep 22 19:38:47 EDT 2025,10.184.247.80,,inbound,,0,
Archived,<contact@consulting.com>,Contact <contact@consulting.com>,<user@example.com>,Your order confirmation #99687,Tue Sep 02 18:50:02 EDT 2025,192.168.130.166,,internal,,0,
Bounced,<admin.johnson@corporate.com>,Admin.Johnson <admin.johnson@corporate.com>,<user@example.com>,Monthly report - September,Mon Sep 01 23:37:17 EDT 2025,192.168.72.226,,internal,Awaiting indexing,0,
Held,<offers55@offers.info>,<offers55@offers.info>,<user@example.com>,Click here for amazing deals,Fri Sep 05 08:35:00 EDT 2025,213.243.49.22,,internal,Message Hold Applied - Spam Signature policy,126,Moderate
Bounced,<info@finance.com>,Info <info@finance.com>,<user@example.com>,Your order confirmation #50135,Fri Sep 12 17:33:22 EDT 2025,127.0.70.79,,inbound,,0,
Deferred,<support@consulting.com>,Support <support@consulting.com>,<user@example.com>,Conference registration confirmed,Thu Sep 18 07:23:11 EDT 2025,10.78.71.12,,outbound,Message Hold Applied - Spam Signature policy,0,
Archived,<support.brown@gmail.com>,Support.Brown <support.brown@gmail.com>,<user@example.com>,Conference registration confirmed,Thu Aug 28 15:07:52 EDT 2025,74.126.162.176,,inbound,,2,
Archived,<sarah.miller@finance.com>,Sarah.Miller <sarah.miller@finance.com>,<user@example.com>,Monthly report - September,Sun Aug 31 18:27:19 EDT 2025,66.246.26.243,,outbound,Awaiting indexing,0,
Bounced,<deal706@offers.info>,<deal706@offers.info>,<user@example.com>,Click here for amazing deals,Sat Sep 20 09:45:18 EDT 2025,209.19.176.60,,outbound,Message Hold Applied - Spam Signature policy,28,Moderate
Archived,<promo946@offers.info>,<promo946@offers.info>,<user@example.com>,Click here for amazing deals,Thu Sep 04 18:58:18 EDT 2025,208.32.120.177,,internal,,33,Moderate
Bounced,<noreply@organization.org>,Noreply <noreply@organization.org>,<user@example.com>,Account security notification,Thu Aug 28 21:53:55 EDT 2025,172.16.148.11,,inbound,Awaiting indexing,0,
Rejected,<offers70@fake.domain>,<offers70@fake.domain>,<user@example.com>,FREE trial - act now!,Sun Aug 31 05:21:26 EDT 2025,211.74.170.242,,outbound,Indexed and archived,85,Moderate
Archived,<deal674@fake.domain>,<deal674@fake.domain>,<user@example.com>,Congratulations! You are a winner!,Sun Sep 21 16:23:39 EDT 2025,211.161.114.195,,internal,Hard Bounce,29,Moderate
Bounced,<sarah.garcia@gmail.com>,Sarah.Garcia <sarah.garcia@gmail.com>,<user@example.com>,Welcome to LinkedIn,Thu Sep 25 07:53:58 EDT 2025,66.31.214.40,,outbound,Awaiting indexing,0,
Deferred,<mike.brown@company.com>,Mike.Brown <mike.brown@company.com>,<user@example.com>,Your order confirmation #46208,Wed Sep 17 16:17:52 EDT 2025,74.186.149.169,,inbound,Attempt Greylisted,0,
Bounced,<sarah.garcia@corporate.com>,Sarah.Garcia <sarah.garcia@corporate.com>,<user@example.com>,Your order confirmation #63841,Wed Sep 17 23:30:45 EDT 2025,66.254.203.211,,inbound,Indexed and archived,0,
Archived,<support.smith@yahoo.com>,Support.Smith <support.smith@yahoo.com>,<user@example.com>,Monthly report - September,Sun Aug 31 20:09:04 EDT 2025,66.160.102.167,,internal,,7,
Bounced,<info.smith@finance.com>,Info.Smith <info.smith@finance.com>,<user@example.com>,System maintenance notification,Sat Sep 20 23:05:27 EDT 2025,66.163.224.26,,outbound,Indexed and archived,0,
Archived,<sarah.jones@research.org>,Sarah.Jones <sarah.jones@research.org>,<user@example.com>,Invoice #32946 from TechCorp,Mon Sep 08 12:39:43 EDT 2025,10.62.60.119,,internal,Indexed and archived,8,
Bounced,<info@outlook.com>,Info <info@outlook.com>,<user@example.com>,System maintenance notification,Sun Aug 31 09:12:24 EDT 2025,127.0.147.92,,outbound,Awaiting indexing,0,
Held,<marketing3771@suspicious.net>,<marketing3771@suspicious.net>,<user@example.com>,FREE trial - act now!,Sun Sep 07 06:39:16 EDT 2025,188.161.25.232,,inbound,Attempt Greylisted,13,Moderate
Bounced,<lisa.garcia@yahoo.com>,Lisa.Garcia <lisa.garcia@yahoo.com>,<user@example.com>,Invoice #27322 from CloudInc,Thu Sep 11 16:58:17 EDT 2025,127.0.248.207,,internal,,0,
Bounced,<deal375@deals.click>,<deal375@deals.click>,<user@example.com>,URGENT: Claim your prize NOW!,Wed Sep 10 03:29:23 EDT 2025,196.150.98.211,,internal,Message Hold Applied - Spam Signature policy,31,Moderate
Held,<deal664@phishing.com>,<deal664@phishing.com>,<user@example.com>,Click here for amazing deals,Wed Sep 24 04:02:02 EDT 2025,199.255.127.30,,outbound,Attempt Greylisted,99,Moderate
Bounced,<mike.brown@institution.edu>,Mike.Brown <mike.brown@institution.edu>,<user@example.com>,Project update - Security,Fri Sep 05 11:13:28 EDT 2025,192.168.252.176,,outbound,Attempt Greylisted,0,
Deferred,<support@corporate.com>,Support <support@corporate.com>,<user@example.com>,System maintenance notification,Tue Sep 23 18:13:04 EDT 2025,10.213.85.199,,outbound,Message Hold Applied - Spam Signature policy,9,
Archived,<marketing3899@untrusted.biz>,<marketing3899@untrusted.biz>,<user@example.com>,FREE trial - act now!,Mon Sep 22 08:03:08 EDT 2025,206.135.30.191,,internal,,33,Moderate
Bounced,<john.garcia@company.com>,John.Garcia <john.garcia@company.com>,<user@example.com>,Monthly report - September,Fri Sep 26 15:54:25 EDT 2025,127.0.19.231,,outbound,Message Hold Applied - Spam Signature policy,0,
Bounced,<info.williams@research.org>,Info.Williams <info.williams@research.org>,<user@example.com>,Conference registration confirmed,Sun Sep 14 14:56:14 EDT 2025,127.0.107.187,,internal,Hard Bounce,0,
Deferred,<noreply2494@promo.biz>,<noreply2494@promo.biz>,<user@example.com>,FREE trial - act now!,Wed Sep 10 01:37:35 EDT 2025,215.85.172.32,,outbound,,28,Moderate
Bounced,<lisa.smith@university.edu>,Lisa.Smith <lisa.smith@university.edu>,<user@example.com>,System maintenance notification,Sat Sep 20 03:22:54 EDT 2025,172.27.147.58,,outbound,,10,
Bounced,<david.smith@organization.org>,David.Smith <david.smith@organization.org>,<user@example.com>,Welcome to University Portal,Sat Sep 27 05:55:09 EDT 2025,66.37.163.249,Has Attachment,outbound,Attempt Greylisted,0,
Archived,<noreply2391@spam.mail>,<noreply2391@spam.mail>,<user@example.com>,Click here for amazing deals,Sat Sep 06 13:31:38 EDT 2025,208.107.70.56,,inbound,Indexed and archived,19,Moderate
Bounced,<john.johnson@institution.edu>,John.Johnson <john.johnson@institution.edu>,<user@example.com>,Invoice #36794 from CloudInc,Thu Aug 28 06:49:08 EDT 2025,192.168.2.128,,inbound,IP Found in RBL,9,
Bounced,<admin@research.org>,Admin <admin@research.org>,<user@example.com>,Invoice #20205 from CloudInc,Tue Sep 09 13:36:25 EDT 2025,127.0.6.248,,outbound,Awaiting indexing,2,
Archived,<offers20@fake.domain>,<offers20@fake.domain>,<user@example.com>,Lose weight quickly with this trick,Wed Sep 03 05:04:32 EDT 2025,220.30.136.131,,internal,Awaiting indexing,10,Moderate
Archived,<promo716@deals.click>,<promo716@deals.click>,<user@example.com>,Exclusive offer just for you,Wed Sep 03 18:48:37 EDT 2025,208.175.237.226,,outbound,,21,Moderate
Bounced,<support.brown@outlook.com>,Support.Brown <support.brown@outlook.com>,<user@example.com>,Weekly newsletter - Software Update,Thu Sep 18 14:28:02 EDT 2025,192.168.166.222,,inbound,,0,
Bounced,<offers83@suspicious.net>,<offers83@suspicious.net>,<user@example.com>,Secret method to earn $7892,Thu Sep 11 04:03:28 EDT 2025,186.208.231.215,,outbound,Awaiting indexing,12,Moderate
Bounced,<offers88@scam.net>,<offers88@scam.net>,<user@example.com>,Click here for amazing deals,Sun Sep 14 10:43:38 EDT 2025,183.203.162.166,,internal,Awaiting indexing,25,Moderate
Bounced,<offers20@untrusted.biz>,<offers20@untrusted.biz>,<user@example.com>,Click here for amazing deals,Tue Sep 23 19:45:05 EDT 2025,199.144.97.165,,inbound,,48,Moderate
Held,<admin.jones@yahoo.com>,Admin.Jones <admin.jones@yahoo.com>,<user@example.com>,Account security notification,Thu Aug 28 06:21:49 EDT 2025,10.125.20.76,,inbound,IP Found in RBL,15,
Bounced,<admin.johnson@finance.com>,Admin.Johnson <admin.johnson@finance.com>,<user@example.com>,Welcome to GitHub,Sun Sep 14 11:43:46 EDT 2025,66.73.201.115,,inbound,Attempt Greylisted,4,
Deferred,<marketing6257@scam.net>,<marketing6257@scam.net>,<user@example.com>,Last chance to save big!,Thu Aug 28 05:52:12 EDT 2025,218.36.224.65,,internal,,36,Moderate
Bounced,<david.smith@institution.edu>,David.Smith <david.smith@institution.edu>,<user@example.com>,Welcome to Cloud Service,Mon Sep 01 13:05:58 EDT 2025,192.168.107.14,,internal,Indexed and archived,0,
Deferred,<offers28@untrusted.biz>,<offers28@untrusted.biz>,<user@example.com>,Exclusive offer just for you,Wed Sep 03 22:30:28 EDT 2025,219.2.232.21,Has Attachment,inbound,,36,Moderate
Bounced,<info@business.net>,Info <info@business.net>,<user@example.com>,Your order confirmation #16258,Sun Sep 14 20:50:39 EDT 2025,127.0.153.138,Has Attachment,outbound,Awaiting indexing,0,
Bounced,<marketing1403@deals.click>,<marketing1403@deals.click>,<user@example.com>,FREE trial - act now!,Thu Aug 28 16:34:32 EDT 2025,212.142.6.100,,inbound,,24,Moderate
Archived,<marketing1699@promo.biz>,<marketing1699@promo.biz>,<user@example.com>,FREE trial - act now!,Fri Sep 26 11:34:21 EDT 2025,191.213.200.176,,outbound,Message Hold Applied - Spam Signature policy,9,Moderate
Held,<noreply1605@scam.net>,<noreply1605@scam.net>,<user@example.com>,FREE trial - act now!,Thu Sep 11 12:52:34 EDT 2025,210.65.10.193,,internal,Indexed and archived,89,Moderate
Held,<offers66@fake.domain>,<offers66@fake.domain>,<user@example.com>,You have won $8229!,Fri Sep 05 15:23:59 EDT 2025,213.69.206.22,,inbound,Message Hold Applied - Spam Signature policy,144,Moderate
Archived,<promo413@spam.mail>,<promo413@spam.mail>,<user@example.com>,Exclusive offer just for you,Sat Sep 13 01:46:55 EDT 2025,202.158.112.71,,inbound,Awaiting indexing,26,Moderate
Held,<deal870@untrusted.biz>,<deal870@untrusted.biz>,<user@example.com>,URGENT: Claim your prize NOW!,Thu Sep 25 07:49:41 EDT 2025,203.93.99.244,,outbound,Attempt Greylisted,99,Moderate
Bounced,<offers56@malicious.org>,<offers56@malicious.org>,<user@example.com>,Lose weight quickly with this trick,Sat Sep 27 23:11:31 EDT 2025,213.100.234.144,,internal,,14,Moderate
Archived,<support@corporate.com>,Support <support@corporate.com>,<user@example.com>,Project update - Security,Tue Sep 02 21:54:20 EDT 2025,74.182.139.75,,inbound,,11,
Archived,<noreply2988@deals.click>,<noreply2988@deals.click>,<user@example.com>,FREE trial - act now!,Tue Sep 09 11:29:51 EDT 2025,215.34.157.227,,internal,Awaiting indexing,47,Moderate
Archived,<deal658@fake.domain>,<deal658@fake.domain>,<user@example.com>,Exclusive offer just for you,Tue Sep 16 04:56:53 EDT 2025,215.164.151.47,,inbound,Indexed and archived,8,Moderate
Archived,<sarah.williams@outlook.com>,Sarah.Williams <sarah.williams@outlook.com>,<user@example.com>,Monthly report - September,Sun Sep 07 17:17:08 EDT 2025,192.168.129.165,,outbound,Awaiting indexing,0,
Archived,<admin@organization.org>,Admin <admin@organization.org>,<user@example.com>,Project update - AI Research,Wed Sep 03 18:26:39 EDT 2025,66.228.140.75,,internal,Awaiting indexing,0,
Bounced,<offers71@offers.info>,<offers71@offers.info>,<user@example.com>,Secret method to earn $2453,Wed Sep 17 22:20:46 EDT 2025,202.250.103.34,,outbound,Hard Bounce,16,Moderate
Archived,<marketing6294@deals.click>,<marketing6294@deals.click>,<user@example.com>,Congratulations! You are a winner!,Thu Aug 28 05:52:20 EDT 2025,216.185.81.49,,internal,,30,Moderate
Archived,<noreply@gmail.com>,Noreply <noreply@gmail.com>,<user@example.com>,Monthly report - September,Fri Sep 26 01:18:31 EDT 2025,192.168.217.28,,internal,,6,
Archived,<deal296@phishing.com>,<deal296@phishing.com>,<user@example.com>,Last chance to save big!,Wed Sep 03 17:17:52 EDT 2025,219.175.157.31,,inbound,Hard Bounce,36,Moderate
Bounced,<admin.jones@company.com>,Admin.Jones <admin.jones@company.com>,<user@example.com>,Meeting reminder for 2025-09-27,Tue Sep 02 15:33:29 EDT 2025,74.84.82.42,,outbound,,0,
Held,<noreply9025@phishing.com>,<noreply9025@phishing.com>,<user@example.com>,FREE trial - act now!,Sat Sep 06 03:26:37 EDT 2025,199.204.231.186,,outbound,Attempt Greylisted,72,Moderate
Held,<sarah.garcia@finance.com>,Sarah.Garcia <sarah.garcia@finance.com>,<user@example.com>,Meeting reminder for 2025-09-27,Tue Sep 23 21:15:02 EDT 2025,127.0.81.108,,outbound,IP Found in RBL,15,
Held,<deal575@suspicious.net>,<deal575@suspicious.net>,<user@example.com>,Last chance to save big!,Wed Sep 17 05:29:58 EDT 2025,214.88.140.91,,outbound,,72,Moderate
Archived,<info@company.com>,Info <info@company.com>,<user@example.com>,Your order confirmation #37168,Wed Sep 17 15:22:35 EDT 2025,74.74.174.140,,internal,,13,
Archived,<promo552@promo.biz>,<promo552@promo.biz>,<user@example.com>,Lose weight quickly with this trick,Fri Sep 19 17:44:17 EDT 2025,188.28.158.190,,inbound,IP Found in RBL,15,Moderate
Archived,<support.smith@business.net>,Support.Smith <support.smith@business.net>,<user@example.com>,Welcome to GitHub,Fri Sep 12 20:12:48 EDT 2025,66.74.16.233,,outbound,IP Found in RBL,14,
Held,<mike.smith@outlook.com>,Mike.Smith <mike.smith@outlook.com>,<user@example.com>,Invoice #47941 from TechCorp,Sat Sep 27 09:36:38 EDT 2025,66.117.140.135,,inbound,,0,
Archived,<noreply8518@offers.info>,<noreply8518@offers.info>,<user@example.com>,FREE trial - act now!,Tue Sep 09 21:48:12 EDT 2025,191.157.220.164,,internal,Indexed and archived,26,Moderate
Archived,<sarah.smith@outlook.com>,Sarah.Smith <sarah.smith@outlook.com>,<user@example.com>,Weekly newsletter - Security,Thu Aug 28 10:19:37 EDT 2025,172.16.178.61,,inbound,Message Hold Applied - Spam Signature policy,0,
Held,<jane.garcia@consulting.com>,Jane.Garcia <jane.garcia@consulting.com>,<user@example.com>,Weekly newsletter - Software Update,Fri Sep 12 04:29:47 EDT 2025,74.107.234.121,,outbound,,11,
Held,<info.garcia@yahoo.com>,Info.Garcia <info.garcia@yahoo.com>,<user@example.com>,Account security notification,Tue Sep 09 17:09:10 EDT 2025,10.84.184.150,,outbound,Indexed and archived,0,
Bounced,<david.garcia@gmail.com>,David.Garcia <david.garcia@gmail.com>,<user@example.com>,Meeting reminder for 2025-09-27,Tue Sep 09 02:02:27 EDT 2025,192.168.240.229,,internal,Attempt Greylisted,0,
Bounced,<deal460@untrusted.biz>,<deal460@untrusted.biz>,<user@example.com>,Make money fast - limited time offer,Tue Sep 23 20:55:22 EDT 2025,187.46.255.138,,inbound,,15,Moderate
Bounced,<info.brown@university.edu>,Info.Brown <info.brown@university.edu>,<user@example.com>,Monthly report - September,Tue Sep 16 04:17:12 EDT 2025,66.208.108.158,,inbound,Indexed and archived,0,
Bounced,<promo858@suspicious.net>,<promo858@suspicious.net>,<user@example.com>,Last chance to save big!,Wed Sep 03 01:08:32 EDT 2025,198.60.209.235,,internal,Awaiting indexing,21,Moderate
Held,<noreply9540@untrusted.biz>,<noreply9540@untrusted.biz>,<user@example.com>,Last chance to save big!,Sat Aug 30 23:58:11 EDT 2025,220.174.110.143,,internal,,102,Moderate
Archived,<david.brown@business.net>,David.Brown <david.brown@business.net>,<user@example.com>,Welcome to GitHub,Sun Aug 31 22:09:51 EDT 2025,127.0.143.136,,inbound,Hard Bounce,0,
Held,<sarah.smith@yahoo.com>,Sarah.Smith <sarah.smith@yahoo.com>,<user@example.com>,Weekly newsletter - Security,Tue Sep 02 18:46:42 EDT 2025,172.22.78.245,,inbound,,2,
Bounced,<sarah.brown@company.com>,Sarah.Brown <sarah.brown@company.com>,<user@example.com>,Your order confirmation #59894,Wed Sep 10 20:22:19 EDT 2025,127.0.120.26,,outbound,Hard Bounce,6,
Archived,<marketing9569@deals.click>,<marketing9569@deals.click>,<user@example.com>,Congratulations! You are a winner!,Tue Sep 23 06:21:14 EDT 2025,204.146.214.63,,outbound,,22,Moderate
Held,<promo571@untrusted.biz>,<promo571@untrusted.biz>,<user@example.com>,You have won $9054!,Fri Sep 12 05:58:56 EDT 2025,214.254.165.246,,inbound,,24,Moderate
Bounced,<support@finance.com>,Support <support@finance.com>,<user@example.com>,Your order confirmation #11198,Thu Sep 11 14:23:03 EDT 2025,192.168.2.137,,inbound,Awaiting indexing,0,
Archived,<mike.smith@consulting.com>,Mike.Smith <mike.smith@consulting.com>,<user@example.com>,Project update - Data Science,Mon Sep 01 11:17:50 EDT 2025,127.0.118.145,,outbound,Awaiting indexing,2,
Held,<noreply@finance.com>,Noreply <noreply@finance.com>,<user@example.com>,Invoice #17355 from TechCorp,Fri Sep 05 05:05:31 EDT 2025,172.29.145.251,,inbound,,4,
Held,<offers15@malicious.org>,<offers15@malicious.org>,<user@example.com>,Last chance to save big!,Sat Sep 06 01:11:59 EDT 2025,200.5.247.54,,outbound,,24,Moderate
Bounced,<promo793@malicious.org>,<promo793@malicious.org>,<user@example.com>,Make money fast - limited time offer,Thu Sep 04 11:03:06 EDT 2025,207.60.215.20,,outbound,,26,Moderate
Archived,<noreply@tech.com>,Noreply <noreply@tech.com>,<user@example.com>,Conference registration confirmed,Sun Sep 14 05:43:37 EDT 2025,74.22.76.205,,inbound,Message Hold Applied - Spam Signature policy,0,
Archived,<jane.smith@business.net>,Jane.Smith <jane.smith@business.net>,<user@example.com>,Meeting reminder for 2025-09-27,Wed Sep 24 04:05:11 EDT 2025,74.143.105.27,Has Attachment,internal,IP Found in RBL,0,
Archived,<promo497@marketing.buzz>,<promo497@marketing.buzz>,<user@example.com>,Secret method to earn $8637,Mon Sep 22 21:24:10 EDT 2025,188.69.78.69,,inbound,Hard Bounce,27,Moderate
Held,<marketing9729@spam.mail>,<marketing9729@spam.mail>,<user@example.com>,Lose weight quickly with this trick,Wed Sep 24 04:19:00 EDT 2025,205.86.216.159,,internal,Attempt Greylisted,39,Moderate
Bounced,<offers32@deals.click>,<offers32@deals.click>,<user@example.com>,Click here for amazing deals,Thu Aug 28 18:50:15 EDT 2025,200.97.72.210,,internal,IP Found in RBL,13,Moderate
Bounced,<john.garcia@tech.com>,John.Garcia <john.garcia@tech.com>,<user@example.com>,Conference registration confirmed,Mon Sep 01 13:43:31 EDT 2025,66.65.40.184,,internal,IP Found in RBL,0,
Bounced,<marketing8797@fake.domain>,<marketing8797@fake.domain>,<user@example.com>,Make money fast - limited time offer,Wed Sep 03 07:42:42 EDT 2025,202.43.166.157,Has Attachment,outbound,,26,Moderate
Archived,<john.smith@finance.com>,John.Smith <john.smith@finance.com>,<user@example.com>,Weekly newsletter - Data Science,Mon Sep 15 14:49:43 EDT 2025,127.0.27.76,,inbound,Awaiting indexing,0,
Bounced,<deal488@deals.click>,<deal488@deals.click>,<user@example.com>,Exclusive offer just for you,Thu Sep 25 09:02:51 EDT 2025,187.6.218.88,,outbound,,48,Moderate
Archived,<promo673@offers.info>,<promo673@offers.info>,<user@example.com>,Congratulations! You are a winner!,Mon Sep 22 20:42:27 EDT 2025,205.8.189.158,,internal,Attempt Greylisted,1,Moderate
Archived,<jane.jones@finance.com>,Jane.Jones <jane.jones@finance.com>,<user@example.com>,Project update - Data Science,Sat Sep 13 03:16:42 EDT 2025,66.248.81.153,,internal,Hard Bounce,0,
Archived,<offers85@untrusted.biz>,<offers85@untrusted.biz>,<user@example.com>,Make money fast - limited time offer,Thu Sep 18 03:11:23 EDT 2025,189.131.100.108,,outbound,Message Hold Applied - Spam Signature policy,32,Moderate
Bounced,<mike.jones@tech.com>,Mike.Jones <mike.jones@tech.com>,<user@example.com>,Welcome to University Portal,Wed Sep 17 14:39:03 EDT 2025,127.0.35.50,,outbound,Attempt Greylisted,0,
Bounced,<promo271@scam.net>,<promo271@scam.net>,<user@example.com>,Click here for amazing deals,Fri Sep 19 07:34:18 EDT 2025,190.200.118.145,,internal,Indexed and archived,37,Moderate
Held,<marketing7232@spam.mail>,<marketing7232@spam.mail>,<user@example.com>,Lose weight quickly with this trick,Wed Sep 24 23:53:41 EDT 2025,195.77.224.9,,internal,,27,Moderate
Rejected,<marketing5745@deals.click>,<marketing5745@deals.click>,<user@example.com>,Congratulations! You are a winner!,Mon Sep 08 04:50:13 EDT 2025,193.207.16.146,,internal,Message Hold Applied - Spam Signature policy,87,Moderate
Archived,<contact@organization.org>,Contact <contact@organization.org>,<user@example.com>,Project update - Data Science,Sun Aug 31 20:08:44 EDT 2025,66.38.83.213,,outbound,Message Hold Applied - Spam Signature policy,0,
Archived,<offers21@scam.net>,<offers21@scam.net>,<user@example.com>,FREE trial - act now!,Thu Aug 28 15:20:37 EDT 2025,180.223.199.217,,outbound,,41,Moderate
Archived,<admin.johnson@yahoo.com>,Admin.Johnson <admin.johnson@yahoo.com>,<user@example.com>,Invoice #45197 from CloudInc,Mon Sep 01 09:21:35 EDT 2025,127.0.202.88,,inbound,Awaiting indexing,8,
Deferred,<promo567@offers.info>,<promo567@offers.info>,<user@example.com>,You have won $5045!,Mon Sep 22 08:05:41 EDT 2025,203.65.22.96,,outbound,Attempt Greylisted,41,Moderate
Bounced,<noreply8032@deals.click>,<noreply8032@deals.click>,<user@example.com>,Lose weight quickly with this trick,Thu Sep 25 04:37:14 EDT 2025,213.175.114.3,Has Attachment,internal,,28,Moderate
Bounced,<jane.smith@company.com>,Jane.Smith <jane.smith@company.com>,<user@example.com>,Account security notification,Wed Sep 03 04:41:43 EDT 2025,192.168.157.167,,internal,,0,
